iter	Passed	Remaining
0	578	578360
1	580	289488
2	580	193075
3	581	144873
4	582	115989
5	586	97095
6	587	83290
7	588	72920
8	589	64863
9	589	58408
10	590	53122
11	591	48723
12	593	45056
13	594	41865
14	595	39126
15	597	36721
16	598	34598
17	599	32702
18	600	31000
19	601	29474
20	602	28101
21	603	26844
22	606	25745
23	607	24718
24	608	23744
25	609	22844
26	610	22012
27	611	21238
28	612	20513
29	613	19850
30	616	19273
31	617	18689
32	619	18140
33	620	17637
34	622	17150
35	623	16687
36	624	16245
37	625	15834
38	627	15471
39	629	15097
40	630	14740
41	631	14398
42	632	14072
43	633	13758
44	634	13458
45	635	13173
46	636	12901
47	638	12654
48	639	12403
49	640	12161
50	641	11929
51	642	11705
52	642	11487
53	643	11280
54	644	11078
55	645	10889
56	647	10715
57	648	10538
58	649	10362
59	650	10194
60	651	10032
61	652	9873
62	653	9720
63	654	9573
64	655	9429
65	656	9289
66	657	9154
67	659	9036
68	660	8910
69	661	8789
70	662	8670
71	663	8554
72	664	8441
73	665	8332
74	666	8223
75	667	8116
76	668	8015
77	670	7926
78	671	7830
79	672	7735
80	673	7643
81	674	7551
82	675	7465
83	676	7378
84	677	7290
85	678	7209
86	678	7125
87	679	7045
88	681	6973
89	682	6904
90	683	6832
91	684	6760
92	686	6692
93	687	6624
94	688	6555
95	689	6488
96	689	6422
97	690	6359
98	692	6298
99	693	6241
100	694	6183
101	695	6121
102	696	6064
103	697	6010
104	698	5954
105	699	5898
106	700	5844
107	701	5790
108	702	5738
109	702	5686
110	703	5638
111	705	5594
112	706	5546
113	707	5499
114	708	5453
115	709	5405
116	710	5360
117	711	5315
118	711	5269
119	712	5227
120	713	5184
121	714	5144
122	715	5103
123	717	5065
124	718	5027
125	719	4988
126	720	4951
127	720	4911
128	721	4873
129	722	4836
130	723	4800
131	724	4765
132	725	4729
133	726	4695
134	728	4666
135	729	4633
136	730	4600
137	731	4566
138	732	4535
139	733	4503
140	734	4472
141	735	4441
142	735	4410
143	736	4380
144	738	4354
145	739	4325
146	740	4297
147	741	4269
148	742	4241
149	743	4213
150	744	4185
151	745	4158
152	746	4131
153	747	4104
154	748	4077
155	750	4059
156	751	4035
157	752	4010
158	753	3984
159	754	3961
160	755	3937
161	756	3912
162	757	3888
163	758	3864
164	759	3841
165	759	3818
166	761	3798
167	762	3777
168	763	3755
169	764	3733
170	765	3711
171	766	3690
172	767	3668
173	768	3647
174	769	3626
175	770	3605
176	771	3585
177	772	3566
178	774	3550
179	775	3530
180	775	3509
181	776	3490
182	777	3471
183	778	3453
184	779	3434
185	780	3416
186	781	3397
187	782	3380
188	784	3364
189	785	3347
190	786	3330
191	787	3312
192	788	3296
193	789	3278
194	789	3261
195	790	3244
196	791	3227
197	792	3211
198	793	3195
199	796	3184
200	797	3168
201	798	3152
202	799	3138
203	800	3122
204	801	3107
205	801	3091
206	802	3076
207	804	3061
208	805	3046
209	806	3033
210	807	3020
211	808	3006
212	809	2992
213	810	2978
214	812	2965
215	812	2950
216	813	2936
217	814	2922
218	815	2908
219	816	2895
220	817	2881
221	818	2868
222	820	2857
223	821	2845
224	822	2832
225	823	2819
226	824	2806
227	825	2793
228	826	2781
229	826	2768
230	827	2756
231	828	2743
232	829	2731
233	831	2721
234	832	2709
235	833	2699
236	834	2687
237	836	2678
238	837	2666
239	838	2654
240	839	2643
241	840	2631
242	842	2623
243	843	2614
244	845	2604
245	846	2593
246	847	2583
247	848	2574
248	850	2563
249	850	2552
250	852	2543
251	854	2536
252	856	2529
253	858	2520
254	860	2513
255	861	2504
256	862	2494
257	864	2486
258	866	2479
259	867	2469
260	868	2460
261	870	2451
262	872	2444
263	874	2437
264	876	2432
265	878	2423
266	879	2414
267	880	2404
268	882	2397
269	883	2388
270	884	2379
271	887	2376
272	889	2367
273	890	2359
274	891	2350
275	892	2341
276	893	2332
277	894	2324
278	895	2315
279	897	2307
280	899	2301
281	900	2293
282	902	2285
283	917	2312
284	918	2304
285	920	2296
286	926	2300
287	927	2293
288	928	2285
289	930	2277
290	931	2269
291	932	2261
292	936	2259
293	937	2252
294	939	2244
295	940	2236
296	941	2228
297	942	2220
298	943	2212
299	946	2207
300	948	2202
301	949	2195
302	950	2187
303	952	2180
304	953	2172
305	954	2164
306	956	2158
307	958	2152
308	959	2146
309	960	2138
310	962	2131
311	963	2124
312	964	2117
313	965	2110
314	967	2104
315	969	2099
316	970	2092
317	972	2084
318	973	2077
319	974	2070
320	975	2063
321	976	2056
322	978	2050
323	979	2044
324	981	2038
325	982	2031
326	983	2024
327	984	2017
328	986	2011
329	987	2004
330	989	1999
331	991	1994
332	992	1988
333	994	1982
334	995	1976
335	997	1970
336	998	1964
337	999	1957
338	1002	1954
339	1005	1952
340	1007	1946
341	1008	1941
342	1010	1934
343	1011	1928
344	1013	1923
345	1014	1917
346	1015	1911
347	1016	1905
348	1019	1900
349	1020	1894
350	1021	1889
351	1023	1884
352	1025	1879
353	1026	1874
354	1028	1868
355	1029	1862
356	1031	1856
357	1032	1850
358	1033	1844
359	1036	1842
360	1038	1839
361	1040	1833
362	1041	1828
363	1043	1822
364	1044	1816
365	1045	1810
366	1046	1805
367	1048	1801
368	1050	1796
369	1051	1790
370	1053	1785
371	1054	1779
372	1055	1774
373	1057	1770
374	1059	1766
375	1061	1762
376	1063	1757
377	1064	1751
378	1065	1745
379	1066	1740
380	1067	1735
